,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,71000,2,-1600,-2.2,73100,73300,71000,22683660,1627050948220,423854561050000,5969782550,STK
1,000660,KR7000660001,SK하이닉스,KOSPI,,131000,2,-1100,-0.83,133800,134500,129000,3822702,502258110100,95368309815000,728002365,STK
2,373220,KR7373220003,LG에너지솔루션,KOSPI,,390000,2,-10500,-2.62,400000,400500,387000,263868,103134871000,91260000000000,234000000,STK
3,207940,KR7207940008,삼성바이오로직스,KOSPI,,756000,2,-10000,-1.31,770000,770000,755000,66807,50887149000,53807544000000,71174000,STK
4,005935,KR7005931001,삼성전자우,KOSPI,,58300,2,-800,-1.35,59300,59400,58000,1345861,78619158600,47974294610000,822886700,STK
5,068270,KR7068270008,셀트리온,KOSPI,,178000,2,-9500,-5.07,186600,186700,177100,1280203,230546782800,38800565846000,217980707,STK
6,005380,KR7005380001,현대차,KOSPI,,181800,2,-4400,-2.36,186300,186400,181000,481127,87827255300,38456427790800,211531506,STK
7,035420,KR7035420009,NAVER,KOSPI,,219000,2,-11000,-4.78,228500,230500,218500,961856,213976285000,35567482086000,162408594,STK
8,005490,KR7005490008,POSCO홀딩스,KOSPI,,419000,2,-18500,-4.23,434000,438500,418000,783683,332886855500,35435345370000,84571230,STK
9,000270,KR7000270009,기아,KOSPI,,87900,2,-1900,-2.12,89000,89500,87500,961515,84658481130,35339685443700,402044203,STK
10,051910,KR7051910008,LG화학,KOSPI,,408500,2,-23500,-5.44,427500,431000,408000,627074,259793031500,28836972115500,70592343,STK
11,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,282000,2,-14500,-4.89,294000,296500,282000,775134,221714631000,27579979008000,97801344,KSQ
12,006400,KR7006400006,삼성SDI,KOSPI,,379000,2,-16000,-4.05,395000,397500,379000,511751,196659584500,26061756870000,68764530,STK
13,035720,KR7035720002,카카오,KOSPI,,57500,2,-2100,-3.52,59600,59900,56600,3326071,191910906800,25578867985000,444849878,STK
14,003670,KR7003670007,포스코퓨처엠,KOSPI,,288500,2,-15000,-4.94,301500,302000,288500,501909,146926193000,22348138970000,77463220,STK
15,028260,KR7028260008,삼성물산,KOSPI,,117000,2,-2300,-1.93,119700,119700,116800,212304,25000353400,21714225390000,185591670,STK
16,105560,KR7105560007,KB금융,KOSPI,,49800,2,-1300,-2.54,50800,51300,49750,1340792,67381377774,20094851385600,403511072,STK
17,012330,KR7012330007,현대모비스,KOSPI,,205500,2,-7500,-3.52,212500,213000,205000,208667,43112503000,19246121817000,93655094,STK
18,055550,KR7055550008,신한지주,KOSPI,,36550,2,-300,-0.81,37200,37600,36550,817498,30160287405,18741358665050,512759471,STK
19,086520,KR7086520004,에코프로,KOSDAQ,우량기업부,595000,2,-21000,-3.41,610000,613000,595000,314615,188814149000,15843462460000,26627668,KSQ
20,450080,KR7450080007,에코프로머티,KOSPI,,226500,1,3000,1.34,222500,230000,217500,961362,216618389500,15625151877000,68985218,STK
21,066570,KR7066570003,LG전자,KOSPI,,91300,2,-3300,-3.49,94000,94100,90700,922101,84714448200,14941045418200,163647814,STK
22,011200,KR7011200003,HMM,KOSPI,,20300,2,-400,-1.93,20700,21050,20050,4280225,87895497550,13987501768800,689039496,STK
23,323410,KR7323410001,카카오뱅크,KOSPI,,29000,2,-1450,-4.76,30400,30450,28600,2083180,60949790400,13829291973000,476872137,STK
24,018260,KR7018260000,삼성에스디에스,KOSPI,,165100,2,-2600,-1.55,169400,172000,164600,163291,27293528900,12775074780000,77377800,STK
25,032830,KR7032830002,삼성생명,KOSPI,,61100,2,-1300,-2.08,62300,62500,61100,281694,17366954900,12220000000000,200000000,STK
26,015760,KR7015760002,한국전력,KOSPI,,18980,2,-260,-1.35,19200,19390,18980,1470742,28201440660,12184478181460,641964077,STK
27,086790,KR7086790003,하나금융지주,KOSPI,,41300,2,-250,-0.6,42000,42050,41250,1154911,48053081646,12074327497400,292356598,STK
28,138040,KR7138040001,메리츠금융지주,KOSPI,,59000,2,-2100,-3.44,61300,61500,58600,389814,23387272750,11998954726000,203372114,STK
29,096770,KR7096770003,SK이노베이션,KOSPI,,117900,2,-4500,-3.68,122400,122500,117900,567740,67678522500,11867290995600,100655564,STK
30,000810,KR7000810002,삼성화재,KOSPI,,243500,2,-6500,-2.6,248000,250000,243000,85391,20947845500,11535772809500,47374837,STK
31,003550,KR7003550001,LG,KOSPI,,72200,2,-3000,-3.99,75000,75300,71800,598265,43516661128,11357131694600,157300993,STK
32,033780,KR7033780008,KT&G,KOSPI,,84500,2,-1100,-1.29,86100,86100,83700,450259,38084480700,11308000996500,133822497,STK
33,034730,KR7034730002,SK,KOSPI,,153000,2,-5200,-3.29,158000,158000,152800,140177,21678459400,11199344337000,73198329,STK
34,017670,KR7017670001,SK텔레콤,KOSPI,,49400,1,300,0.61,49350,49800,49300,456078,22543991050,10810357313600,218833144,STK
35,009150,KR7009150004,삼성전기,KOSPI,,138600,2,-7900,-5.39,147300,147600,136700,615658,86031789600,10352546265600,74693696,STK
36,329180,KR7329180004,HD현대중공업,KOSPI,,113900,2,-5000,-4.21,119000,119000,113700,100572,11573494900,10111257912400,88773116,STK
37,010130,KR7010130003,고려아연,KOSPI,,451500,2,-12500,-2.69,465500,465500,451500,40446,18399104000,9440227482000,20908588,STK
38,316140,KR7316140003,우리금융지주,KOSPI,,12450,2,-80,-0.64,12530,12570,12430,1075902,13440246490,9361770789450,751949461,STK
39,034020,KR7034020008,두산에너빌리티,KOSPI,,14570,2,-660,-4.33,15270,15270,14560,2935031,43382396730,9332975897220,640561146,STK
40,352820,KR7352820005,하이브,KOSPI,,223500,2,-5000,-2.19,230000,232500,219000,274411,61594806500,9309243679500,41652097,STK
41,024110,KR7024110009,기업은행,KOSPI,,11580,1,10,0.09,11590,11600,11490,1127713,13026337458,9234191563020,797425869,STK
42,259960,KR7259960003,크래프톤,KOSPI,,186000,2,-9000,-4.62,196400,197000,186000,86708,16352105600,8995470198000,48362743,STK
43,022100,KR7022100002,포스코DX,KOSPI,,58800,2,-400,-0.68,59400,60000,57600,1421308,83722731600,8939642065200,152034729,STK
44,047050,KR7047050000,포스코인터내셔널,KOSPI,,50500,2,-1100,-2.13,51600,51700,50200,663251,33564471300,8884100794000,175922788,STK
45,030200,KR7030200000,KT,KOSPI,,33300,1,150,0.45,33300,33400,32950,362802,12038656200,8586763308000,257860760,STK
46,003490,KR7003490000,대한항공,KOSPI,,22100,2,-550,-2.43,22650,22750,22100,733583,16365197500,8137676608100,368220661,STK
47,009540,KR7009540006,HD한국조선해양,KOSPI,,104400,2,-4900,-4.48,109500,109500,104000,155065,16370335100,7388713310400,70773116,STK
48,377300,KR7377300009,카카오페이,KOSPI,,55000,2,-1900,-3.34,56700,57800,53500,514044,28089606100,7384578630000,134265066,STK
49,066970,KR7066970005,엘앤에프,KOSDAQ GLOBAL,우량기업부,201000,2,-4000,-1.95,205000,214500,195100,1847006,381392606900,7285812825000,36247825,KSQ
50,010950,KR7010950004,S-Oil,KOSPI,,64700,2,-900,-1.37,65800,65800,64700,165922,10783384800,7284106642400,112582792,STK
51,090430,KR7090430000,아모레퍼시픽,KOSPI,,121300,2,-1500,-1.22,123900,124600,120900,121870,14876461700,7095171666700,58492759,STK
52,326030,KR7326030004,SK바이오팜,KOSPI,,89500,2,-5000,-5.29,93900,94100,89200,215230,19464890500,7009035875000,78313250,STK
53,012450,KR7012450003,한화에어로스페이스,KOSPI,,135000,2,-3700,-2.67,138400,139400,133500,396247,53637292015,6835050000000,50630000,STK
54,042660,KR7042660001,한화오션,KOSPI,,21400,2,-700,-3.17,22100,22250,21100,915300,19640219300,6556080438600,306358899,STK
55,402340,KR7402340004,SK스퀘어,KOSPI,,46850,2,-850,-1.78,48600,48600,46700,138407,6526462650,6511261536600,138981036,STK
56,086280,KR7086280005,현대글로비스,KOSPI,,168600,2,-3900,-2.26,173800,173900,168600,64401,10968595400,6322500000000,37500000,STK
57,010140,KR7010140002,삼성중공업,KOSPI,,7050,2,-100,-1.4,7150,7200,7050,3169094,22474108740,6204000000000,880000000,STK
58,009830,KR7009830001,한화솔루션,KOSPI,,34150,2,-3600,-9.54,37000,37050,34100,2041632,70954327750,5870130104400,171892536,STK
59,454910,KR7454910001,두산로보틱스,KOSPI,,89400,2,-3900,-4.18,92700,94000,87800,1783069,159560388700,5794906212000,64819980,STK
60,005830,KR7005830005,DB손해보험,KOSPI,,79700,2,-400,-0.5,80700,81100,79100,108878,8733789300,5642760000000,70800000,STK
