Date,Open,High,Low,Close,Volume,Change
2010-01-04,16060,16180,16000,16180,239271,0.01251564455569465
2010-01-05,16520,16580,16300,16440,559219,0.01606922126081578
2010-01-06,16580,16820,16520,16820,459755,0.02311435523114347
2010-01-07,16820,16820,16260,16260,443237,-0.03329369797859694
2010-01-08,16400,16420,16120,16420,295798,0.009840098400984099
2010-01-11,16420,16460,15940,15940,398901,-0.02923264311814855
2010-01-12,15940,16180,15900,16180,384460,0.015056461731492998
2010-01-13,16100,16119,15940,15940,267619,-0.014833127317676165
2010-01-14,16120,16620,16000,16540,532705,0.03764115432873272
2010-01-15,16640,16860,16580,16840,398401,0.018137847642079707
2010-01-18,16800,16920,16560,16860,261691,0.0011876484560569
2010-01-19,17000,17000,16440,16460,241308,-0.023724792408066464
2010-01-20,16460,16740,16460,16680,384306,0.013365735115431265
2010-01-21,16400,17000,16400,17000,340148,0.01918465227817756
2010-01-22,16800,16900,16360,16500,470536,-0.02941176470588236
2010-01-25,16320,16960,16300,16840,412797,0.020606060606060517
2010-01-26,16920,16920,16240,16300,375210,-0.03206650831353919
2010-01-27,16300,16340,16000,16000,370760,-0.018404907975460127
2010-01-28,16160,16300,16060,16160,276614,0.010000000000000009
2010-01-29,16000,16019,15600,15680,457285,-0.02970297029702973
2010-02-01,15679,15700,15300,15540,501042,-0.008928571428571397
2010-02-02,15800,15800,15400,15440,393803,-0.006435006435006385
2010-02-03,15640,15700,15360,15540,330235,0.006476683937823857
2010-02-04,15500,15660,15440,15520,239799,-0.0012870012870013214
2010-02-05,15160,15220,14940,15000,515034,-0.03350515463917525
2010-02-08,14940,15080,14820,14960,439608,-0.002666666666666706
2010-02-09,14959,15220,14840,15220,337459,0.017379679144384985
2010-02-10,15260,15280,15039,15100,263846,-0.007884362680683266
2010-02-11,15140,15300,15120,15260,265050,0.01059602649006619
2010-02-12,15340,15340,14900,15000,458574,-0.017038007863695914
2010-02-16,15000,15179,14960,15120,154766,0.008000000000000007
2010-02-17,15439,15580,15280,15580,280246,0.030423280423280463
2010-02-18,15580,15620,15440,15500,145108,-0.005134788189987138
2010-02-19,15380,15540,15180,15200,223000,-0.01935483870967747
2010-02-22,15440,15560,15400,15460,231865,0.017105263157894735
2010-02-23,15480,15480,15119,15340,251717,-0.0077619663648124115
2010-02-24,15179,15220,15000,15040,301431,-0.019556714471968717
2010-02-25,15080,15160,14680,14720,386093,-0.021276595744680882
2010-02-26,14800,14960,14660,14880,311924,0.010869565217391353
2010-03-02,15220,15479,15120,15400,471552,0.034946236559139754
2010-03-03,15420,15460,15260,15420,194602,0.0012987012987013546
2010-03-04,15420,15440,15120,15220,204388,-0.012970168612191912
2010-03-05,15259,15500,15259,15500,235291,0.018396846254927768
2010-03-08,15799,15840,15700,15720,391403,0.014193548387096744
2010-03-09,15740,15740,15540,15720,244284,0.0
2010-03-10,15720,15740,15560,15680,227383,-0.0025445292620864812
2010-03-11,15800,15880,15560,15560,392802,-0.007653061224489832
2010-03-12,15560,15680,15420,15560,200080,0.0
2010-03-15,15640,15660,15280,15360,251707,-0.01285347043701801
2010-03-16,15360,15400,15160,15300,331137,-0.00390625
2010-03-17,15440,15960,15420,15960,437152,0.04313725490196085
2010-03-18,15900,16140,15900,15940,307995,-0.0012531328320801727
2010-03-19,16020,16140,15960,16080,214492,0.008782936010037545
2010-03-22,16060,16080,15840,16020,184264,-0.003731343283582045
2010-03-23,16139,16300,16100,16180,198652,0.009987515605493158
2010-03-24,16299,16500,16260,16380,318916,0.012360939431396822
2010-03-25,16299,16440,16180,16380,189958,0.0
2010-03-26,16460,16500,16240,16400,209802,0.0012210012210012167
2010-03-29,16200,16500,16200,16360,155679,-0.0024390243902439046
2010-03-30,16540,16580,16240,16280,240934,-0.004889975550122272
2010-03-31,16280,16680,16260,16360,434300,0.004914004914004844
2010-04-01,16520,16900,16480,16900,561659,0.033007334963325086
2010-04-02,16920,17200,16820,17140,419069,0.014201183431952646
2010-04-05,17220,17400,17140,17400,304516,0.015169194865811031
2010-04-06,17480,17500,17220,17380,330287,-0.0011494252873562871
2010-04-07,17300,17380,17040,17180,388680,-0.011507479861910253
2010-04-08,17140,17260,17060,17260,269327,0.00465657741559955
2010-04-09,17280,17320,16960,17120,275789,-0.008111239860950192
2010-04-12,17180,17200,16540,16600,497940,-0.030373831775700966
2010-04-13,16680,16680,16300,16560,409114,-0.002409638554216831
2010-04-14,16700,16940,16660,16900,308499,0.020531400966183666
2010-04-15,17240,17240,16880,17100,365104,0.01183431952662728
2010-04-16,17100,17160,16820,16960,220112,-0.008187134502923965
2010-04-19,16740,16800,16520,16540,247376,-0.024764150943396235
2010-04-20,16540,16640,16420,16560,271882,0.0012091898428052694
2010-04-21,16760,17060,16700,17040,264254,0.02898550724637672
2010-04-22,16980,16980,16660,16820,343557,-0.012910798122065748
2010-04-23,16960,16960,16560,16600,309436,-0.013079667063020217
2010-04-26,16700,16840,16600,16680,260608,0.004819277108433662
2010-04-27,16620,16760,16540,16700,260996,0.0011990407673860837
2010-04-28,16400,16500,16360,16500,320393,-0.0119760479041916
2010-04-29,16600,16620,16320,16500,226931,0.0
2010-04-30,16560,17040,16540,16980,454668,0.029090909090909056
2010-05-03,16900,16900,16540,16580,291445,-0.02355712603062421
2010-05-04,16800,16860,16600,16680,183456,0.006031363088057962
2010-05-06,16339,16380,16200,16280,451765,-0.023980815347721784
2010-05-07,15960,15980,15760,15880,759225,-0.02457002457002455
2010-05-10,16000,16100,15940,16060,330582,0.01133501259445846
2010-05-11,16240,16240,15820,15820,450658,-0.01494396014943955
2010-05-12,15940,15960,15640,15780,315809,-0.0025284450063211006
2010-05-13,15960,16400,15940,16260,319461,0.03041825095057038
2010-05-14,16120,16240,15980,16200,293840,-0.0036900369003689537
2010-05-17,15960,15980,15560,15680,530598,-0.032098765432098775
2010-05-18,15799,15900,15680,15840,363385,0.010204081632652962
2010-05-19,15700,15700,15380,15460,361171,-0.023989898989899006
2010-05-20,15300,15439,15100,15120,395806,-0.021992238033635148
2010-05-24,14940,15280,14880,15160,354475,0.002645502645502562
2010-05-25,15000,15120,14720,14820,511626,-0.02242744063324542
2010-05-26,15199,15379,14900,15000,460053,0.012145748987854255
2010-05-27,14880,15500,14820,15440,444241,0.029333333333333433
2010-05-28,15740,15740,15340,15560,450925,0.007772020725388629
2010-05-31,15440,15620,15360,15520,255822,-0.0025706940874036244
2010-06-01,15520,15580,15300,15360,228117,-0.010309278350515427
2010-06-03,15599,15679,15480,15540,293327,0.01171875
2010-06-04,15500,15940,15480,15860,252280,0.0205920205920207
2010-06-07,15580,15740,15540,15740,303328,-0.007566204287515754
2010-06-08,15700,15960,15520,15700,290449,-0.0025412960609910717
2010-06-09,15840,15840,15320,15400,359716,-0.019108280254777066
2010-06-10,15540,15600,15420,15460,356286,0.003896103896103842
2010-06-11,15700,15940,15660,15940,366275,0.031047865459249646
2010-06-14,15820,16179,15820,16140,241981,0.012547051442910906
